origin_h3,destination_h3,origin_lng,origin_lat,destination_lng,destination_lat,hour_of_day,is_rush_hour,day_of_week,is_weekend,is_holiday,haversine_distance_meters,baseline_distance_meters,traffic_level,is_raining,rain_level,weather_condition,baseline_eta_secs,actual_eta_secs,residual_secs
894143682c3ffff,89415ca640bffff,105.7356,20.999,105.8127,21.0592,7,true,Thu,false,false,10432.8,13599,medium,true,light,rain,1933,2433,500
89415cb4ba3ffff,89415cb4987ffff,105.8005,21.0288,105.7991,21.0055,0,false,Sat,true,false,2594.9,3362.1,low,true,heavy,storm,258,597,339
89415cb4193ffff,89415cb5dc7ffff,105.868,20.9946,105.8598,21.0422,12,false,Tue,false,false,5360.9,5989.8,low,false,none,cloudy,532,438,-94
89415cb5dc7ffff,89415cb49afffff,105.8598,21.0422,105.7898,21.0093,19,true,Sat,true,false,8134.5,13854.4,high,false,none,cloudy,2101,2564,463
89415cb4b97ffff,8941436945bffff,105.8067,21.0238,105.783,21.0167,13,false,Thu,false,false,2583.5,2917.9,low,false,none,cloudy,247,393,146
89414369647ffff,89415cb5dc7ffff,105.7828,21.0367,105.8598,21.0422,16,false,Sat,true,false,8014.6,10576,medium,true,heavy,storm,1126,1672,546
89415ca640bffff,89414368657ffff,105.8127,21.0592,105.747,20.9881,6,false,Fri,false,false,10440.6,13577.4,medium,false,none,clear,1401,1359,-42
8941436945bffff,89415cb4ba3ffff,105.783,21.0167,105.8005,21.0288,14,false,Sat,true,false,2260.4,2709,medium,false,none,clear,380,222,-158
89415ca7123ffff,89415cb684bffff,105.8012,21.1188,105.8558,20.9732,1,false,Fri,false,false,17152.9,22172.6,low,false,none,clear,1801,1732,-69
89415cb5db3ffff,89415cb4d47ffff,105.851,21.0359,105.8175,21.0023,12,false,Thu,false,false,5103.9,7145.5,medium,true,light,rain,834,1005,171
89415cb4987ffff,894143682c3ffff,105.7991,21.0055,105.7356,20.999,20,false,Sun,true,false,6631.3,10041.5,medium,false,none,clear,1006,1139,133
89414369647ffff,89415cb5dc7ffff,105.7828,21.0367,105.8598,21.0422,19,true,Wed,false,true,8014.6,13326.4,severe,true,light,rain,6526,8204,1678
89415cb4b97ffff,89415cb684bffff,105.8067,21.0238,105.8558,20.9732,18,true,Tue,false,true,7591.9,11189.5,severe,false,none,clear,3937,5053,1116
894143682c3ffff,89414369647ffff,105.7356,20.999,105.7818,21.0379,20,false,Tue,false,false,6458,8930.9,high,false,none,clear,1298,1405,107
89415ca640bffff,89415cb46afffff,105.8127,21.0592,105.9035,21.0109,20,false,Wed,false,false,10846.7,19282.2,low,true,moderate,rain,1814,1914,100
89415cb4193ffff,89414369647ffff,105.868,20.9946,105.7828,21.0367,16,false,Mon,false,false,10006.2,17979,low,false,none,cloudy,1752,1763,11
89415cb5dc7ffff,894143682c3ffff,105.8598,21.0422,105.7356,20.999,17,true,Sun,true,false,13757.2,20833,high,false,none,cloudy,3500,4287,787
89414369647ffff,89415cb687bffff,105.7818,21.0379,105.8467,20.9719,19,true,Sat,true,false,9962.2,11546.5,medium,false,none,cloudy,1578,1945,367
89415cb5dc7ffff,89415cb4b0fffff,105.8598,21.0422,105.8037,21.0372,8,true,Wed,false,false,5848.6,7472.1,medium,true,light,rain,938,1343,405
89414369617ffff,89415ca7123ffff,105.7787,21.0282,105.8012,21.1188,8,true,Sun,true,false,10341.2,17792.8,severe,false,none,clear,4997,5567,570
8941436945bffff,89415cb684bffff,105.783,21.0167,105.8558,20.9732,9,false,Tue,false,false,8972.9,12399.8,high,false,none,clear,2092,2669,577
89415cb4b0fffff,89415cb5dc7ffff,105.8037,21.0372,105.8598,21.0422,10,false,Thu,false,false,5848.6,8075.3,high,false,none,cloudy,1677,2277,600
89414369647ffff,89415cb4b97ffff,105.7818,21.0379,105.8067,21.0238,11,false,Fri,false,false,3022.7,4068,medium,true,light,rain,439,463,24
89415cb4987ffff,89415cb4bc3ffff,105.7991,21.0055,105.814,21.0335,7,true,Fri,false,false,3476.4,3764.2,medium,true,light,rain,506,1281,775
89415cb5db3ffff,89415cb4b97ffff,105.851,21.0359,105.8067,21.0238,21,false,Sun,true,false,4790.7,5649.8,low,false,none,clear,556,367,-189
89415cb5dc7ffff,89415cb4d47ffff,105.8598,21.0422,105.8175,21.0023,21,false,Thu,false,false,6241.8,10127.4,high,false,none,fog,2460,3010,550
89415cb4d5bffff,89415cb5db3ffff,105.8249,21.0049,105.851,21.0359,15,false,Sun,true,false,4384.2,5596.8,low,false,none,cloudy,538,519,-19
89415cb4ba3ffff,89415ca7123ffff,105.8005,21.0288,105.8012,21.1188,23,false,Thu,false,true,10007.8,18001.1,medium,false,none,clear,1935,2019,84
89415cb46afffff,89415cb4a47ffff,105.9035,21.0109,105.833,21.046,21,false,Sat,true,false,8293,9366.1,medium,false,none,clear,983,1070,87
