feature,importance
is_weekend,0.112365246
baseline_eta_secs,0.10658252
weekday,0.08147906
hour_bin_afternoon_evening_peak,0.07120735
month,0.070062645
weekday_cos,0.065764666
is_rush_hour,0.06468108
month_sin,0.055804897
weekday_sin,0.0490324
origin_rain,0.04704989
hour_bin_off_peak_midday,0.045761745
rain,0.040591177
hour_bin_early_morning,0.03918208
hour_bin_late_evening_low_service,0.035588413
destination_rain,0.03225989
month_cos,0.02957916
hour_bin_morning_peak,0.028094642
hour_bin_other,0.024913104
destination_lng,0.0
destination_lat,0.0
lng,0.0
lat,0.0
haversine_distance_meters,0.0
stationId_1992,0.0
destination_stationId_323,0.0
od_pair_1992_323,0.0
