feature,importance
baseline_eta_secs,0.10991641
weekday,0.109535284
weekday_cos,0.10429849
month,0.08390306
month_sin,0.08387995
is_weekend,0.08253566
hour_bin_afternoon_evening_peak,0.08065393
weekday_sin,0.052141674
hour_bin_early_morning,0.0491399
origin_rain,0.047722876
rain,0.042479336
is_rush_hour,0.0421211
hour_bin_off_peak_midday,0.039536335
destination_rain,0.03857624
hour_bin_morning_peak,0.018855872
month_cos,0.014703974
haversine_distance_meters,0.0
lat,0.0
destination_lng,0.0
destination_lat,0.0
lng,0.0
stationId_1992,0.0
destination_stationId_323,0.0
od_pair_1992_323,0.0
hour_bin_late_evening_low_service,0.0
hour_bin_other,0.0
