feature,importance
month_cos,0.2118403
is_weekend,0.13055387
month_sin,0.0889296
weekday,0.07963888
weekday_cos,0.075292185
month,0.06903015
hour,0.059851658
hour_cos,0.054783452
origin_rain,0.04488995
baseline_eta_secs,0.037161537
is_rush_hour,0.03700169
weekday_sin,0.03262448
hour_sin,0.029948128
rain,0.029822914
destination_rain,0.018631222
haversine_distance_meters,0.0
lng,0.0
destination_lat,0.0
destination_lng,0.0
lat,0.0
stationId_1992,0.0
destination_stationId_323,0.0
od_pair_1992_323,0.0
