feature,importance
weekday_cos,0.1092486
baseline_eta_secs,0.1052151
is_weekend,0.100435324
month,0.08597972
weekday,0.08261008
hour_cos,0.07718731
month_sin,0.065750904
month_cos,0.060744442
hour,0.057295095
weekday_sin,0.05377424
hour_sin,0.050988507
origin_rain,0.047799356
destination_rain,0.04380643
rain,0.036482114
is_rush_hour,0.022682743
haversine_distance_meters,0.0
lng,0.0
destination_lat,0.0
destination_lng,0.0
lat,0.0
stationId_1992,0.0
destination_stationId_323,0.0
od_pair_1992_323,0.0
