feature,importance
num__is_rush_hour,0.03693395
num__baseline_eta_secs,0.03460227
num__traffic_level_ord,0.0326665
cat__rain_level_none,0.026664786
num__is_raining,0.023498224
cat__rain_level_heavy,0.02200456
cat__weather_condition_storm,0.019823255
cat__traffic_level_severe,0.019481985
num__baseline_speed_mps,0.017269773
cat__rain_level_very_heavy,0.017049288
num__rain_level_ord,0.0139683
num__baseline_distance_meters,0.013074632
cat__traffic_level_low,0.012259924
num__is_holiday,0.011624431
cat__destination_h3_89415ca7123ffff,0.011060706
cat__destination_h3_89415cb4b0fffff,0.010982832
num__haversine_distance_meters,0.010849727
cat__destination_h3_89415cb5dc7ffff,0.010805055
cat__destination_h3_89415cb4a47ffff,0.010793481
num__hour_sin,0.010733739
cat__rain_level_light,0.010694831
cat__weather_condition_rain,0.010537064
cat__origin_h3_89415cb4ba3ffff,0.0104409885
cat__origin_h3_89415cb4a47ffff,0.010385474
cat__day_of_week_Sat,0.010352015
cat__origin_h3_89415cb46afffff,0.010299435
cat__day_of_week_Fri,0.010038419
cat__weather_condition_cloudy,0.009935348
cat__destination_h3_89415cb4b97ffff,0.009811338
cat__origin_h3_89415cb4193ffff,0.009690745
cat__destination_h3_89414369647ffff,0.009605264
cat__origin_h3_89415cb684bffff,0.009540338
cat__weather_condition_clear,0.0094966125
cat__destination_h3_89415cb4193ffff,0.009460719
cat__traffic_level_medium,0.009343472
cat__destination_h3_89414368657ffff,0.0093069635
cat__day_of_week_Tue,0.009273523
cat__destination_h3_89415cb4e43ffff,0.009221177
num__route_to_haversine_ratio,0.009206934
num__weather_condition_ord,0.009200384
cat__origin_h3_89415cb5db3ffff,0.009176346
cat__day_of_week_Sun,0.009052137
cat__rain_level_moderate,0.008847794
cat__origin_h3_89415cb4cd7ffff,0.008790821
num__destination_lng,0.008779162
cat__destination_h3_89415cb4ba3ffff,0.00877734
cat__weather_condition_fog,0.008768584
cat__destination_h3_89415cb4d5bffff,0.008766626
cat__destination_h3_89414369617ffff,0.008755631
num__day_sin,0.008751104
cat__day_of_week_Wed,0.008736742
cat__destination_h3_89415cb4bc3ffff,0.008712574
num__destination_lat,0.008707026
cat__traffic_level_high,0.008701113
num__day_of_week_num,0.008700915
cat__origin_h3_89415cb4987ffff,0.008673009
num__hour_cos,0.008524493
num__origin_lng,0.0085192295
cat__day_of_week_Thu,0.008451462
cat__destination_h3_89415cb684bffff,0.008446882
num__is_weekend,0.008441575
cat__origin_h3_89415cb4b0fffff,0.008428781
num__day_cos,0.008415557
cat__destination_h3_89415cb4987ffff,0.008337696
num__origin_lat,0.008292365
cat__origin_h3_89415cb4e43ffff,0.008279753
cat__origin_h3_89415cb4e3bffff,0.008095198
cat__destination_h3_89415cb4d47ffff,0.008077269
cat__origin_h3_89415cb4b97ffff,0.008073485
cat__origin_h3_89414369647ffff,0.007997167
cat__destination_h3_89415ca640bffff,0.007842238
cat__origin_h3_89415cb4d47ffff,0.007806092
cat__origin_h3_89414369617ffff,0.007799615
cat__origin_h3_89415cb4d5bffff,0.007776783
cat__destination_h3_89415cb5db3ffff,0.0076842015
cat__origin_h3_894143682c3ffff,0.007673724
cat__origin_h3_8941436945bffff,0.0075452565
cat__destination_h3_89415cb4cd7ffff,0.007538562
num__hour_of_day,0.007499899
cat__destination_h3_894143682c3ffff,0.0073743938
cat__origin_h3_89415cb687bffff,0.0073572914
cat__origin_h3_89415cb5dc7ffff,0.007350226
cat__origin_h3_89415ca640bffff,0.0072426875
cat__destination_h3_8941436945bffff,0.0071017253
cat__origin_h3_89415cb4bc3ffff,0.0070604268
cat__h3_pair_8941436945bffff->89414369647ffff,0.0068419813
cat__destination_h3_89415cb4e3bffff,0.0068211276
cat__origin_h3_89415cb49afffff,0.006779978
cat__origin_h3_89414368657ffff,0.0067442805
cat__destination_h3_89415cb46afffff,0.006663227
cat__h3_pair_89415cb4987ffff->89415cb4e3bffff,0.006612675
cat__h3_pair_89414368657ffff->89414369647ffff,0.0065644155
cat__origin_h3_89415ca7123ffff,0.006435405
cat__destination_h3_89415cb49afffff,0.0061122035
cat__destination_h3_89415cb687bffff,0.005510771
cat__h3_pair_89415cb4987ffff->89415cb49afffff,0.003194566
cat__h3_pair_894143682c3ffff->89415cb4e43ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb5db3ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb684bffff,0.0
cat__h3_pair_89414368657ffff->894143682c3ffff,0.0
cat__h3_pair_89414368657ffff->8941436945bffff,0.0
cat__h3_pair_89414368657ffff->89414369617ffff,0.0
cat__h3_pair_89414368657ffff->89415ca640bffff,0.0
cat__h3_pair_89414368657ffff->89415ca7123ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4193ffff,0.0
cat__h3_pair_89414368657ffff->89415cb49afffff,0.0
cat__h3_pair_89414368657ffff->89415cb4a47ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4b0fffff,0.0
cat__h3_pair_89414368657ffff->89415cb4b97ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4bc3ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4cd7ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4d5bffff,0.0
cat__h3_pair_89414368657ffff->89415cb4e3bffff,0.0
cat__h3_pair_89414368657ffff->89415cb4e43ffff,0.0
cat__h3_pair_89414368657ffff->89415cb5db3ffff,0.0
cat__h3_pair_89414368657ffff->89415cb5dc7ffff,0.0
cat__h3_pair_89414368657ffff->89415cb684bffff,0.0
cat__h3_pair_89414368657ffff->89415cb687bffff,0.0
cat__h3_pair_8941436945bffff->894143682c3ffff,0.0
cat__h3_pair_8941436945bffff->89415ca640bffff,0.0
cat__h3_pair_8941436945bffff->89415ca7123ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4193ffff,0.0
cat__h3_pair_8941436945bffff->89415cb46afffff,0.0
cat__h3_pair_8941436945bffff->89415cb49afffff,0.0
cat__h3_pair_8941436945bffff->89415cb4a47ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4b0fffff,0.0
cat__h3_pair_8941436945bffff->89415cb4b97ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4ba3ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4bc3ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4cd7ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4d5bffff,0.0
cat__h3_pair_8941436945bffff->89415cb4e3bffff,0.0
cat__h3_pair_8941436945bffff->89415cb4e43ffff,0.0
cat__h3_pair_8941436945bffff->89415cb5db3ffff,0.0
cat__h3_pair_8941436945bffff->89415cb5dc7ffff,0.0
cat__h3_pair_8941436945bffff->89415cb684bffff,0.0
cat__h3_pair_8941436945bffff->89415cb687bffff,0.0
cat__h3_pair_89414369617ffff->894143682c3ffff,0.0
cat__h3_pair_89414369617ffff->8941436945bffff,0.0
cat__h3_pair_89414369617ffff->89414369647ffff,0.0
cat__h3_pair_89414369617ffff->89415ca640bffff,0.0
cat__h3_pair_89414369617ffff->89415ca7123ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4193ffff,0.0
cat__h3_pair_89414369617ffff->89415cb46afffff,0.0
cat__h3_pair_89414369617ffff->89415cb49afffff,0.0
cat__h3_pair_89414369617ffff->89415cb4a47ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4b0fffff,0.0
cat__h3_pair_89414369617ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4bc3ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4cd7ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4d47ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4d5bffff,0.0
cat__h3_pair_89414369617ffff->89415cb4e3bffff,0.0
cat__h3_pair_89414369617ffff->89415cb4e43ffff,0.0
cat__h3_pair_89414369617ffff->89415cb5db3ffff,0.0
cat__h3_pair_89414369617ffff->89415cb5dc7ffff,0.0
cat__h3_pair_89414369617ffff->89415cb684bffff,0.0
cat__h3_pair_89414369617ffff->89415cb687bffff,0.0
cat__h3_pair_89414369647ffff->894143682c3ffff,0.0
cat__h3_pair_89414369647ffff->89414368657ffff,0.0
cat__h3_pair_89414369647ffff->8941436945bffff,0.0
cat__h3_pair_89414369647ffff->89414369617ffff,0.0
cat__h3_pair_89414369647ffff->89414369647ffff,0.0
cat__h3_pair_89414369647ffff->89415ca640bffff,0.0
cat__h3_pair_89414369647ffff->89415ca7123ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4193ffff,0.0
cat__h3_pair_89414369647ffff->89415cb46afffff,0.0
cat__h3_pair_89414369647ffff->89415cb4987ffff,0.0
cat__h3_pair_89414369647ffff->89415cb49afffff,0.0
cat__h3_pair_89414369647ffff->89415cb4a47ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4b0fffff,0.0
cat__h3_pair_89414369647ffff->89415cb4b97ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4bc3ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4cd7ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4d47ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4d5bffff,0.0
cat__h3_pair_89414369647ffff->89415cb4e3bffff,0.0
cat__h3_pair_89414369647ffff->89415cb4e43ffff,0.0
cat__h3_pair_89414369647ffff->89415cb5db3ffff,0.0
cat__h3_pair_89414369647ffff->89415cb5dc7ffff,0.0
cat__h3_pair_89414369647ffff->89415cb684bffff,0.0
cat__h3_pair_89414369647ffff->89415cb687bffff,0.0
cat__h3_pair_89415ca640bffff->894143682c3ffff,0.0
cat__h3_pair_89415ca640bffff->89414368657ffff,0.0
cat__h3_pair_89415ca640bffff->8941436945bffff,0.0
cat__h3_pair_89415ca640bffff->89414369617ffff,0.0
cat__h3_pair_89415ca640bffff->89414369647ffff,0.0
cat__h3_pair_89415ca640bffff->89415ca7123ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4193ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb46afffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4987ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb49afffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4a47ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4b0fffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4b97ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4ba3ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4bc3ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4cd7ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4d47ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4d5bffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4e3bffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4e43ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb5db3ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb684bffff,0.0
cat__h3_pair_89415ca640bffff->89415cb687bffff,0.0
cat__h3_pair_89415ca7123ffff->89414368657ffff,0.0
cat__h3_pair_89415ca7123ffff->8941436945bffff,0.0
cat__h3_pair_89415ca7123ffff->89414369617ffff,0.0
cat__h3_pair_89415ca7123ffff->89414369647ffff,0.0
cat__h3_pair_89415ca7123ffff->89415ca640bffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb46afffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4a47ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4b0fffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4bc3ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4cd7ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4d47ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4d5bffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4e3bffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4e43ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb5db3ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb684bffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb687bffff,0.0
cat__h3_pair_89415cb4193ffff->894143682c3ffff,0.0
cat__h3_pair_89415cb4193ffff->89414368657ffff,0.0
cat__h3_pair_89415cb4193ffff->8941436945bffff,0.0
cat__h3_pair_89415cb4193ffff->89414369617ffff,0.0
cat__h3_pair_89415cb4193ffff->89414369647ffff,0.0
cat__h3_pair_89415cb4193ffff->89415ca7123ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb46afffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4987ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb49afffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4a47ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4b97ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4bc3ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4d47ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4d5bffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4e3bffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb5db3ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb684bffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb687bffff,0.0
cat__h3_pair_89415cb46afffff->894143682c3ffff,0.0
cat__h3_pair_89415cb46afffff->89414368657ffff,0.0
cat__h3_pair_89415cb46afffff->8941436945bffff,0.0
cat__h3_pair_89415cb46afffff->89414369617ffff,0.0
cat__h3_pair_89415cb46afffff->89414369647ffff,0.0
cat__h3_pair_89415cb46afffff->89415ca640bffff,0.0
cat__h3_pair_89415cb46afffff->89415ca7123ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4193ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4987ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb49afffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4a47ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4b0fffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4b97ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4bc3ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4cd7ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4d47ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4d5bffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4e43ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb5db3ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb687bffff,0.0
cat__h3_pair_89415cb4987ffff->894143682c3ffff,0.0
cat__h3_pair_89415cb4987ffff->89414368657ffff,0.0
cat__h3_pair_89415cb4987ffff->8941436945bffff,0.0
cat__h3_pair_89415cb4987ffff->89414369617ffff,0.0
cat__h3_pair_89415cb4987ffff->89414369647ffff,0.0
cat__h3_pair_89415cb4987ffff->89415ca640bffff,0.0
cat__h3_pair_89415cb4987ffff->89415ca7123ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb4193ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb46afffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb4a47ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb4b0fffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb4b97ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb4bc3ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb4cd7ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb4d5bffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb4e43ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb5db3ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb684bffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb687bffff,0.0
cat__h3_pair_89415cb49afffff->894143682c3ffff,0.0
cat__h3_pair_89415cb49afffff->89414368657ffff,0.0
cat__h3_pair_89415cb49afffff->8941436945bffff,0.0
cat__h3_pair_89415cb49afffff->89414369617ffff,0.0
cat__h3_pair_89415cb49afffff->89414369647ffff,0.0
cat__h3_pair_89415cb49afffff->89415ca640bffff,0.0
cat__h3_pair_89415cb49afffff->89415ca7123ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4193ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb46afffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4987ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4a47ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4b97ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4ba3ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4bc3ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4d47ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4d5bffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4e3bffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4e43ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb5db3ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb684bffff,0.0
cat__h3_pair_89415cb49afffff->89415cb687bffff,0.0
cat__h3_pair_89415cb4a47ffff->894143682c3ffff,0.0
cat__h3_pair_89415cb4a47ffff->8941436945bffff,0.0
cat__h3_pair_89415cb4a47ffff->89414369617ffff,0.0
cat__h3_pair_89415cb4a47ffff->89414369647ffff,0.0
cat__h3_pair_89415cb4a47ffff->89415ca640bffff,0.0
cat__h3_pair_89415cb4a47ffff->89415ca7123ffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb46afffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb4987ffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb49afffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb4b0fffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb4b97ffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb4cd7ffff,0.0
