trial,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std,fit_time_mean
14,1.0,0.05,0.02025055137306238,3,8,600,0.05,0.75,1.0,163.41963194652618,0.4955229607919678,0.17945300899241887,0.02707694963414239,0.4821499188741048
6,0.7,0.1,0.08737668461999538,3,5,250,0.5,0.75,0.85,165.17328114698594,0.6099777780065274,0.18339334068816016,0.027266548360789775,0.21183109283447266
4,0.85,0.0,0.04592011241952802,3,5,400,0.1,1.0,1.0,165.99568536784616,3.8631013506925407,0.17938401006629312,0.02496209555058178,0.301305611928304
15,1.0,0.05,0.03482591811168509,5,8,600,0.05,1.5,1.0,166.6916247178718,1.2218330714735155,0.18058430975623618,0.025493633042293833,1.0999913215637207
2,1.0,0.1,0.04928538203964713,8,8,600,0.5,1.5,0.85,167.97669392036082,2.4397219609353744,0.1872876076974429,0.0243301629016032,2.7707951863606772
3,0.7,0.05,0.09734096464338715,4,8,600,0.0,0.75,0.85,169.20662676188726,0.8552972992125559,0.18773337210324462,0.029944795738964594,0.6445902983347574
13,1.0,0.1,0.09359711585791088,5,5,150,0.1,3.0,0.85,171.3101983278908,2.3428798791596184,0.1863791250273994,0.026340588162738446,0.29392576217651367
1,1.0,0.2,0.17602996790225925,5,8,150,0.0,1.0,1.0,171.72984691352337,1.1315075321172634,0.18644575920434736,0.021778394981026145,0.25861644744873047
7,0.85,0.05,0.03301893700566064,8,3,600,0.5,2.0,1.0,171.82168264246056,2.11727624685119,0.191673919924342,0.026350313937498208,2.9721354643503823
5,0.85,0.05,0.11464790234747517,5,8,400,0.5,0.75,1.0,171.85412468158964,1.1509593952776784,0.18689842291171557,0.02555148612933687,0.5966842174530029
12,0.7,0.0,0.1198156966117842,3,1,400,0.0,0.75,1.0,173.442711776276,2.4790278497876352,0.19185799928445793,0.031018452034886266,0.3301209608713786
11,0.85,0.1,0.12834240864476404,4,1,600,0.5,2.0,0.7,174.07025404787728,7.810615521033448,0.19761026525307337,0.026997178092402038,0.884002685546875
10,0.85,0.05,0.15230606862965212,6,1,250,0.5,3.0,0.7,183.27461019381346,1.5994084154724966,0.20072564192059017,0.023842617715924247,0.8052040735880533
9,0.85,0.05,0.025704720774538548,6,3,150,0.1,1.0,0.85,189.02934589808572,4.388982666813345,0.22462404520698262,0.03308602535590847,0.37269004185994464
8,0.7,0.2,0.016397447102233176,3,8,250,0.5,2.0,0.85,192.46093333929025,5.276964510894964,0.22121241222179555,0.02469985728493516,0.1877892017364502
16,0.7,0.1,0.020446899341129313,5,1,150,0.05,1.5,0.7,223.40862635540097,8.176144488180375,0.27574314460170507,0.0336956744773686,0.31516170501708984
