feature,importance
num__baseline_eta_secs,0.15796734
num__traffic_level_ord,0.109612495
num__is_rush_hour,0.08207495
num__is_raining,0.057150982
num__baseline_speed_mps,0.04148055
cat__weather_condition_storm,0.036126096
cat__rain_level_very_heavy,0.032743897
num__rain_level_ord,0.021410765
num__is_holiday,0.015174331
num__baseline_distance_meters,0.0139196655
cat__destination_h3_89415cb4b97ffff,0.013055855
cat__origin_h3_89415cb5db3ffff,0.012672812
num__is_weekend,0.012543024
cat__day_of_week_Thu,0.0117325615
cat__destination_h3_89414369647ffff,0.01094429
cat__destination_h3_89415cb4a47ffff,0.010756423
num__day_sin,0.010661611
cat__destination_h3_89415cb4193ffff,0.010540083
num__destination_lat,0.010304385
cat__day_of_week_Tue,0.010221763
num__weather_condition_ord,0.010201754
num__haversine_distance_meters,0.009991005
cat__rain_level_light,0.009780697
num__destination_lng,0.009525165
num__route_to_haversine_ratio,0.009442569
num__hour_cos,0.009432555
cat__origin_h3_89415cb4987ffff,0.0093089985
num__origin_lat,0.00911189
cat__origin_h3_89415cb49afffff,0.009100331
cat__destination_h3_89414368657ffff,0.008848674
cat__origin_h3_89415cb4a47ffff,0.008698491
num__day_of_week_num,0.00851751
cat__origin_h3_89415cb4b0fffff,0.008332469
num__origin_lng,0.0082667675
num__hour_sin,0.008217637
cat__destination_h3_89415cb4e43ffff,0.008215573
cat__destination_h3_89415cb4d5bffff,0.008126622
cat__origin_h3_8941436945bffff,0.0077997344
cat__destination_h3_89415cb4987ffff,0.007793567
cat__traffic_level_high,0.007785954
cat__destination_h3_89415cb4bc3ffff,0.007745814
cat__h3_pair_89415cb4987ffff->89415cb4e3bffff,0.0075870208
cat__origin_h3_89415cb4b97ffff,0.0073109837
cat__h3_pair_89414368657ffff->89414369647ffff,0.007264627
num__day_cos,0.007158503
cat__weather_condition_cloudy,0.007135605
cat__destination_h3_89415cb4e3bffff,0.007103194
cat__origin_h3_89414369647ffff,0.0069296868
cat__destination_h3_89414369617ffff,0.0066305147
cat__destination_h3_89415cb5db3ffff,0.006622686
cat__traffic_level_medium,0.006554428
cat__weather_condition_rain,0.006539254
cat__destination_h3_89415ca640bffff,0.0064878603
num__hour_of_day,0.006420736
cat__day_of_week_Fri,0.006322793
cat__destination_h3_89415cb5dc7ffff,0.0061866967
cat__destination_h3_89415cb4d47ffff,0.005951333
cat__origin_h3_89415cb4bc3ffff,0.0056387126
cat__destination_h3_89415cb684bffff,0.0055866847
cat__origin_h3_89415cb684bffff,0.0049140984
cat__origin_h3_89415cb4e43ffff,0.004640437
cat__h3_pair_89415cb684bffff->89414369647ffff,0.00358024
cat__rain_level_moderate,0.0020962679
cat__origin_h3_89415cb4e3bffff,0.0
cat__origin_h3_89415cb5dc7ffff,0.0
cat__origin_h3_89415cb687bffff,0.0
cat__destination_h3_894143682c3ffff,0.0
cat__destination_h3_8941436945bffff,0.0
cat__destination_h3_89415ca7123ffff,0.0
cat__destination_h3_89415cb46afffff,0.0
cat__destination_h3_89415cb49afffff,0.0
cat__destination_h3_89415cb4b0fffff,0.0
cat__destination_h3_89415cb4ba3ffff,0.0
cat__destination_h3_89415cb4cd7ffff,0.0
cat__destination_h3_89415cb687bffff,0.0
cat__h3_pair_894143682c3ffff->89414368657ffff,0.0
cat__h3_pair_894143682c3ffff->8941436945bffff,0.0
cat__h3_pair_894143682c3ffff->89414369617ffff,0.0
cat__h3_pair_894143682c3ffff->89414369647ffff,0.0
cat__h3_pair_894143682c3ffff->89415ca640bffff,0.0
cat__h3_pair_894143682c3ffff->89415ca7123ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4193ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb46afffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4987ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb49afffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4a47ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4b0fffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4b97ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4ba3ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4bc3ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4cd7ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4d47ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4d5bffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4e3bffff,0.0
cat__h3_pair_894143682c3ffff->89415cb4e43ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb5db3ffff,0.0
cat__h3_pair_894143682c3ffff->89415cb684bffff,0.0
cat__h3_pair_89414368657ffff->894143682c3ffff,0.0
cat__h3_pair_89414368657ffff->8941436945bffff,0.0
cat__h3_pair_89414368657ffff->89414369617ffff,0.0
cat__h3_pair_89414368657ffff->89415ca640bffff,0.0
cat__h3_pair_89414368657ffff->89415ca7123ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4193ffff,0.0
cat__h3_pair_89414368657ffff->89415cb49afffff,0.0
cat__h3_pair_89414368657ffff->89415cb4a47ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4b0fffff,0.0
cat__h3_pair_89414368657ffff->89415cb4b97ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4bc3ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4cd7ffff,0.0
cat__h3_pair_89414368657ffff->89415cb4d5bffff,0.0
cat__h3_pair_89414368657ffff->89415cb4e3bffff,0.0
cat__h3_pair_89414368657ffff->89415cb4e43ffff,0.0
cat__h3_pair_89414368657ffff->89415cb5db3ffff,0.0
cat__h3_pair_89414368657ffff->89415cb5dc7ffff,0.0
cat__h3_pair_89414368657ffff->89415cb684bffff,0.0
cat__h3_pair_89414368657ffff->89415cb687bffff,0.0
cat__h3_pair_8941436945bffff->894143682c3ffff,0.0
cat__h3_pair_8941436945bffff->89414369647ffff,0.0
cat__h3_pair_8941436945bffff->89415ca640bffff,0.0
cat__h3_pair_8941436945bffff->89415ca7123ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4193ffff,0.0
cat__h3_pair_8941436945bffff->89415cb46afffff,0.0
cat__h3_pair_8941436945bffff->89415cb49afffff,0.0
cat__h3_pair_8941436945bffff->89415cb4a47ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4b0fffff,0.0
cat__h3_pair_8941436945bffff->89415cb4b97ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4ba3ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4bc3ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4cd7ffff,0.0
cat__h3_pair_8941436945bffff->89415cb4d5bffff,0.0
cat__h3_pair_8941436945bffff->89415cb4e3bffff,0.0
cat__h3_pair_8941436945bffff->89415cb4e43ffff,0.0
cat__h3_pair_8941436945bffff->89415cb5db3ffff,0.0
cat__h3_pair_8941436945bffff->89415cb5dc7ffff,0.0
cat__h3_pair_8941436945bffff->89415cb684bffff,0.0
cat__h3_pair_8941436945bffff->89415cb687bffff,0.0
cat__h3_pair_89414369617ffff->894143682c3ffff,0.0
cat__h3_pair_89414369617ffff->8941436945bffff,0.0
cat__h3_pair_89414369617ffff->89414369647ffff,0.0
cat__h3_pair_89414369617ffff->89415ca640bffff,0.0
cat__h3_pair_89414369617ffff->89415ca7123ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4193ffff,0.0
cat__h3_pair_89414369617ffff->89415cb46afffff,0.0
cat__h3_pair_89414369617ffff->89415cb49afffff,0.0
cat__h3_pair_89414369617ffff->89415cb4a47ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4b0fffff,0.0
cat__h3_pair_89414369617ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4bc3ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4cd7ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4d47ffff,0.0
cat__h3_pair_89414369617ffff->89415cb4d5bffff,0.0
cat__h3_pair_89414369617ffff->89415cb4e3bffff,0.0
cat__h3_pair_89414369617ffff->89415cb4e43ffff,0.0
cat__h3_pair_89414369617ffff->89415cb5db3ffff,0.0
cat__h3_pair_89414369617ffff->89415cb5dc7ffff,0.0
cat__h3_pair_89414369617ffff->89415cb684bffff,0.0
cat__h3_pair_89414369617ffff->89415cb687bffff,0.0
cat__h3_pair_89414369647ffff->894143682c3ffff,0.0
cat__h3_pair_89414369647ffff->89414368657ffff,0.0
cat__h3_pair_89414369647ffff->8941436945bffff,0.0
cat__h3_pair_89414369647ffff->89414369617ffff,0.0
cat__h3_pair_89414369647ffff->89414369647ffff,0.0
cat__h3_pair_89414369647ffff->89415ca640bffff,0.0
cat__h3_pair_89414369647ffff->89415ca7123ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4193ffff,0.0
cat__h3_pair_89414369647ffff->89415cb46afffff,0.0
cat__h3_pair_89414369647ffff->89415cb4987ffff,0.0
cat__h3_pair_89414369647ffff->89415cb49afffff,0.0
cat__h3_pair_89414369647ffff->89415cb4a47ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4b0fffff,0.0
cat__h3_pair_89414369647ffff->89415cb4b97ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4bc3ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4cd7ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4d47ffff,0.0
cat__h3_pair_89414369647ffff->89415cb4d5bffff,0.0
cat__h3_pair_89414369647ffff->89415cb4e3bffff,0.0
cat__h3_pair_89414369647ffff->89415cb4e43ffff,0.0
cat__h3_pair_89414369647ffff->89415cb5db3ffff,0.0
cat__h3_pair_89414369647ffff->89415cb5dc7ffff,0.0
cat__h3_pair_89414369647ffff->89415cb684bffff,0.0
cat__h3_pair_89414369647ffff->89415cb687bffff,0.0
cat__h3_pair_89415ca640bffff->894143682c3ffff,0.0
cat__h3_pair_89415ca640bffff->89414368657ffff,0.0
cat__h3_pair_89415ca640bffff->8941436945bffff,0.0
cat__h3_pair_89415ca640bffff->89414369617ffff,0.0
cat__h3_pair_89415ca640bffff->89414369647ffff,0.0
cat__h3_pair_89415ca640bffff->89415ca7123ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4193ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb46afffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4987ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb49afffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4a47ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4b0fffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4b97ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4ba3ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4bc3ffff,0.0
cat__h3_pair_89415ca640bffff->89415cb4cd7ffff,0.0
