trial,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std,fit_time_mean
14,1.0,0.05,0.02025055137306238,3,8,600,0.05,0.75,1.0,164.2069246703965,0.869487270602211,0.1824807683274716,0.02922479826601817,0.816572348276774
2,1.0,0.1,0.04928538203964713,8,8,600,0.5,1.5,0.85,167.16646246524735,2.0489855781893644,0.18297803420949463,0.0258779024651306,2.3570640881856284
6,0.7,0.1,0.08737668461999538,3,5,250,0.5,0.75,0.85,167.475343709062,2.410756024439261,0.1875209335052738,0.02526736099867082,0.2056459585825602
4,0.85,0.0,0.04592011241952802,3,5,400,0.1,1.0,1.0,167.99204894521452,1.7844717471578677,0.18118540317688128,0.02331701671959038,0.3840203285217285
15,1.0,0.05,0.03482591811168509,5,8,600,0.05,1.5,1.0,169.35622465943086,1.7025056616440122,0.18695997936168654,0.025778385446963425,1.0514686902364094
3,0.7,0.05,0.09734096464338715,4,8,600,0.0,0.75,0.85,171.04458954311178,1.9367249372369773,0.1927206628734803,0.031700436926578236,0.6065397262573242
5,0.85,0.05,0.11464790234747517,5,8,400,0.5,0.75,1.0,171.64650529417705,1.5859311185585117,0.18590060162216007,0.026358736559162602,0.7427601019541422
13,1.0,0.1,0.09359711585791088,5,5,150,0.1,3.0,0.85,171.81792312003654,3.151761090516723,0.18798203829684942,0.026317279954769342,0.45380441347757977
1,1.0,0.2,0.17602996790225925,5,8,150,0.0,1.0,1.0,173.2749421035452,4.211399482333141,0.18993914573744067,0.029284577967051632,0.4767765998840332
7,0.85,0.05,0.03301893700566064,8,3,600,0.5,2.0,1.0,173.29780707544373,1.0007209827246601,0.19039466053067497,0.029775060721554697,3.008391777674357
12,0.7,0.0,0.1198156966117842,3,1,400,0.0,0.75,1.0,175.0346429950515,2.632295586198738,0.1948220708731375,0.0284317143732516,0.49445263544718426
11,0.85,0.1,0.12834240864476404,4,1,600,0.5,2.0,0.7,177.25842982645509,5.690125638483067,0.2017217290896772,0.03409009697439947,0.8654371102650961
10,0.85,0.05,0.15230606862965212,6,1,250,0.5,3.0,0.7,184.71775086358687,0.8370226774766698,0.19780091120724577,0.02818893374695113,0.7643288771311442
9,0.85,0.05,0.025704720774538548,6,3,150,0.1,1.0,0.85,192.1879682419577,2.610102244990165,0.22418301734130064,0.03044211911649986,0.4843003749847412
8,0.7,0.2,0.016397447102233176,3,8,250,0.5,2.0,0.85,195.2338788347403,5.308355697247678,0.22571779046539098,0.02578940684724222,0.24082287152608237
16,0.7,0.1,0.020446899341129313,5,1,150,0.05,1.5,0.7,224.64844136122247,8.116056836445608,0.2729989664320355,0.034684078384571215,0.841801643371582
