feature,importance
num__baseline_eta_secs,0.17101589
num__traffic_level_ord,0.10078349
num__is_rush_hour,0.09251122
num__is_raining,0.062674165
num__baseline_speed_mps,0.05192181
num__rain_level_ord,0.03957336
num__is_holiday,0.017715575
cat__destination_h3_89414369647ffff,0.01572809
num__baseline_distance_meters,0.014530176
cat__day_of_week_Thu,0.013246112
cat__origin_h3_89415cb4d47ffff,0.013010053
cat__weather_condition_rain,0.011816662
cat__destination_h3_89415cb4ba3ffff,0.0108968895
cat__destination_h3_89415cb4b97ffff,0.010835092
cat__origin_h3_89415cb684bffff,0.0108276
cat__origin_h3_89414369617ffff,0.010806731
num__origin_lat,0.010703901
cat__destination_h3_89415cb4a47ffff,0.010638677
num__hour_sin,0.010599099
cat__origin_h3_89415cb49afffff,0.010552176
cat__destination_h3_89415cb4e3bffff,0.010508522
num__day_cos,0.010492551
cat__origin_h3_89415cb4a47ffff,0.010217221
cat__destination_h3_89415ca640bffff,0.010102019
num__haversine_distance_meters,0.010073074
num__route_to_haversine_ratio,0.00988274
num__weather_condition_ord,0.009829909
cat__origin_h3_89415cb4b0fffff,0.009784496
num__is_weekend,0.009775608
cat__day_of_week_Fri,0.009744257
cat__rain_level_heavy,0.009411564
num__destination_lat,0.009406347
cat__destination_h3_89415cb4cd7ffff,0.009320341
num__day_sin,0.0091459
num__day_of_week_num,0.009133087
num__origin_lng,0.009025298
num__destination_lng,0.008936451
cat__destination_h3_89415cb5db3ffff,0.008554488
cat__weather_condition_cloudy,0.008344506
cat__destination_h3_89415cb4987ffff,0.008210686
cat__h3_pair_89415cb4987ffff->89415cb4e3bffff,0.0081989765
cat__h3_pair_89414368657ffff->89414369647ffff,0.008181424
num__hour_cos,0.008043843
cat__traffic_level_medium,0.007949476
num__hour_of_day,0.007945995
cat__destination_h3_89415cb684bffff,0.007840739
cat__day_of_week_Tue,0.0076349955
cat__destination_h3_89415cb4e43ffff,0.007372142
cat__origin_h3_89415ca640bffff,0.0071346713
cat__origin_h3_89415cb4b97ffff,0.0070220744
cat__destination_h3_89415cb4d47ffff,0.006993434
cat__h3_pair_89415cb684bffff->89414369647ffff,0.0061874953
cat__destination_h3_89415cb4bc3ffff,0.0059055705
cat__destination_h3_89414369617ffff,0.005440452
cat__origin_h3_89415cb4bc3ffff,0.0053360164
cat__destination_h3_89415cb4d5bffff,0.0043195873
cat__h3_pair_89414369647ffff->89415cb4d47ffff,0.00407309
cat__origin_h3_89414369647ffff,0.0020901642
