h3_pair,count,origin_h3,destination_h3,actual_eta_mean,baseline_mae,residual_mae,residual_improvement_vs_baseline,residual_p90_abs_error
89414369617ffff->89415cb4987ffff,5,89414369617ffff,89415cb4987ffff,1482.2,676.2,246.6991760253906,429.50082397460943,500.423779296875
89415cb4987ffff->89414369617ffff,7,89415cb4987ffff,89414369617ffff,1330.2857142857142,484.7142857142857,240.1923538872174,244.52193182706833,418.46042480468753
89415cb687bffff->89415cb684bffff,5,89415cb687bffff,89415cb684bffff,710.4,526.2,226.0774299621582,300.12257003784185,488.57685546875007
89415cb5db3ffff->89415cb4e43ffff,5,89415cb5db3ffff,89415cb4e43ffff,595.2,418.6,225.02941646575928,193.57058353424074,430.4372314453125
89415cb4e43ffff->89415cb46afffff,19,89415cb4e43ffff,89415cb46afffff,1803.5263157894738,606.0,222.7417736680884,383.2582263319116,448.11340332031244
89415cb5dc7ffff->89415cb687bffff,23,89415cb5dc7ffff,89415cb687bffff,2793.5652173913045,558.4347826086956,220.94702446979025,337.4877581389054,358.8265380859375
8941436945bffff->89415cb4bc3ffff,26,8941436945bffff,89415cb4bc3ffff,1323.0,533.7692307692307,219.72011045309213,314.04912031613856,514.5499877929688
89415cb4a47ffff->89415cb4e3bffff,25,89415cb4a47ffff,89415cb4e3bffff,1155.12,562.6,216.3127414703369,346.2872585296631,381.2714599609376
89415cb49afffff->89415cb4d5bffff,23,89415cb49afffff,89415cb4d5bffff,1269.5217391304348,463.69565217391306,211.05421562298486,252.6414365509282,509.0850341796876
89415cb687bffff->89415cb46afffff,30,89415cb687bffff,89415cb46afffff,2355.633333333333,535.7,206.33894524971643,329.36105475028364,447.0508178710939
89415cb5dc7ffff->89415cb4bc3ffff,32,89415cb5dc7ffff,89415cb4bc3ffff,1449.96875,488.0,205.5494841374457,282.4505158625543,404.3929565429688
89415cb4bc3ffff->89415cb4193ffff,20,89415cb4bc3ffff,89415cb4193ffff,2434.75,549.6,205.42549533843993,344.1745046615601,352.80535888671875
89415cb4b0fffff->89415cb49afffff,8,89415cb4b0fffff,89415cb49afffff,1101.25,325.625,204.92192935943604,120.70307064056396,311.0360961914062
89415cb4cd7ffff->89415cb4e43ffff,28,89415cb4cd7ffff,89415cb4e43ffff,1525.6785714285713,684.8571428571429,202.2548700230462,482.60227283409665,348.95089721679693
89414369647ffff->89415cb49afffff,9,89414369647ffff,89415cb49afffff,1108.0,492.55555555555554,199.75022592809466,292.8053296274609,342.4775390625
89415cb4bc3ffff->89415cb5dc7ffff,28,89415cb4bc3ffff,89415cb5dc7ffff,1309.7142857142858,429.67857142857144,198.5524390957185,231.12613233285293,424.6286437988282
89415cb4ba3ffff->89415cb46afffff,23,89415cb4ba3ffff,89415cb46afffff,3653.0434782608695,555.1304347826087,197.3312124169391,357.7992223656696,465.55986328125
894143682c3ffff->89414369647ffff,40,894143682c3ffff,89414369647ffff,2116.875,493.7,194.61487691402436,299.0851230859756,451.3799194335937
89415cb4b0fffff->894143682c3ffff,27,89415cb4b0fffff,894143682c3ffff,2786.6666666666665,638.1481481481482,192.22443857016387,445.92370957798425,338.4446838378907
89415cb4d5bffff->89415cb5dc7ffff,15,89415cb4d5bffff,89415cb5dc7ffff,1909.6666666666667,531.0,191.9909302075704,339.0090697924296,321.0327575683594
89415cb4e3bffff->89414368657ffff,42,89415cb4e3bffff,89414368657ffff,3157.2380952380954,557.5952380952381,191.30565297603607,366.289585119202,331.87086181640626
89415cb4e43ffff->8941436945bffff,20,89415cb4e43ffff,8941436945bffff,3245.9,666.85,189.7239382714033,477.1260617285967,486.2948608398438
89415cb4d47ffff->8941436945bffff,25,89415cb4d47ffff,8941436945bffff,1140.6,470.52,189.6750316619873,280.8449683380127,406.2730224609376
89414368657ffff->89415cb4e43ffff,25,89414368657ffff,89415cb4e43ffff,3892.44,625.76,188.1120739364624,437.6479260635376,429.96733398437505
89415cb687bffff->89415cb4e43ffff,28,89415cb687bffff,89415cb4e43ffff,2151.4285714285716,520.9285714285714,187.8246598797185,333.1039115488529,331.2552185058594
89415cb4a47ffff->89415ca7123ffff,27,89415cb4a47ffff,89415ca7123ffff,2813.814814814815,426.18518518518516,187.73811759772124,238.44706758746392,339.87192382812503
894143682c3ffff->89415cb4e3bffff,23,894143682c3ffff,89415cb4e3bffff,3140.1739130434785,460.2173913043478,186.7777063380117,273.43968496633613,329.259716796875
89415cb684bffff->89415cb687bffff,5,89415cb684bffff,89415cb687bffff,518.6,314.4,186.70217590332032,127.69782409667965,363.2988159179688
89415cb5dc7ffff->894143682c3ffff,17,89415cb5dc7ffff,894143682c3ffff,3647.5882352941176,510.11764705882354,186.15846130821635,323.95918575060716,352.5097900390625
89415cb4193ffff->89415ca7123ffff,29,89415cb4193ffff,89415ca7123ffff,4292.0,609.9310344827586,184.82463892986036,425.1063955528982,390.8281494140624
89415cb687bffff->89415cb4cd7ffff,21,89415cb687bffff,89415cb4cd7ffff,1181.904761904762,586.0952380952381,181.48683539458685,404.60840270065125,377.9053955078125
89415cb687bffff->89415cb5db3ffff,30,89415cb687bffff,89415cb5db3ffff,2124.9,475.5,180.69089670976004,294.80910329023993,361.2279296875
89415cb4193ffff->89414369617ffff,23,89415cb4193ffff,89414369617ffff,2973.304347826087,515.1304347826087,180.4246567228566,334.7057780597521,408.18491210937503
89415ca640bffff->89415cb49afffff,26,89415ca640bffff,89415cb49afffff,1870.3461538461538,595.6538461538462,180.38144014202632,415.27240601181984,373.6302185058594
89415ca640bffff->89415cb4d5bffff,21,89415ca640bffff,89415cb4d5bffff,1911.4285714285713,415.7142857142857,179.49917684282576,236.21510887145996,341.1255187988281
89415cb684bffff->89415cb5db3ffff,22,89415cb684bffff,89415cb5db3ffff,2267.0454545454545,613.5,178.96719126267865,434.5328087373214,371.6866271972657
89415cb4bc3ffff->89415cb684bffff,19,89415cb4bc3ffff,89415cb684bffff,2868.4210526315787,663.5263157894736,178.0774083890413,485.44890740043235,375.56484374999985
89415cb4b97ffff->89415cb684bffff,30,89415cb4b97ffff,89415cb684bffff,2416.1,490.1666666666667,177.7809901634852,312.38567650318146,308.73393859863285
89415cb4a47ffff->89415cb4d47ffff,29,89415cb4a47ffff,89415cb4d47ffff,2128.0344827586205,583.551724137931,177.25461034117075,406.2971137967603,392.8673950195312
89415cb4b0fffff->89415cb4cd7ffff,17,89415cb4b0fffff,89415cb4cd7ffff,1965.4705882352941,479.70588235294116,177.0849802494049,302.62090210353625,242.0516082763672
89415cb49afffff->89415cb4bc3ffff,23,89415cb49afffff,89415cb4bc3ffff,899.4347826086956,365.0,176.79444060118303,188.20555939881697,319.021728515625
89415cb4e43ffff->89415cb5dc7ffff,26,89415cb4e43ffff,89415cb5dc7ffff,992.8846153846154,587.0,176.761813383836,410.238186616164,350.307373046875
89415cb46afffff->89414369647ffff,34,89415cb46afffff,89414369647ffff,3449.029411764706,477.47058823529414,176.54800161193398,300.9225866233602,336.63798828125
89415cb4d47ffff->89415cb46afffff,11,89415cb4d47ffff,89415cb46afffff,3028.6363636363635,511.6363636363636,175.46353643590754,336.1728272004561,429.9287109375
8941436945bffff->89415cb4a47ffff,31,8941436945bffff,89415cb4a47ffff,1823.258064516129,495.80645161290323,175.42219609166347,320.38425552123977,389.72021484375
89415cb4bc3ffff->89415ca640bffff,31,89415cb4bc3ffff,89415ca640bffff,1037.8064516129032,469.80645161290323,175.17070789490975,294.6357437179935,368.5409851074219
89414368657ffff->89415cb4bc3ffff,15,89414368657ffff,89415cb4bc3ffff,2467.4,540.6666666666666,175.07390370368958,365.5927629629771,341.36552734375
89415cb5dc7ffff->89415cb4d47ffff,25,89415cb5dc7ffff,89415cb4d47ffff,1691.68,454.24,174.7776349067688,279.4623650932312,353.82138671875003
894143682c3ffff->89415cb687bffff,32,894143682c3ffff,89415cb687bffff,3378.0,480.4375,174.63419197499752,305.8033080250025,443.2505493164064
89415cb4e3bffff->89415cb4b0fffff,24,89415cb4e3bffff,89415cb4b0fffff,1339.4166666666667,476.9166666666667,174.61314586581042,302.3035208008563,364.5669067382812
89415cb5dc7ffff->89415cb4987ffff,24,89415cb5dc7ffff,89415cb4987ffff,2073.5416666666665,437.3333333333333,174.5854960779349,262.7478372553984,438.4745239257812
89415cb4a47ffff->89415cb4193ffff,20,89415cb4a47ffff,89415cb4193ffff,1805.45,396.5,173.52214725613595,222.97785274386405,369.5632568359376
89415ca7123ffff->89415cb4987ffff,26,89415ca7123ffff,89415cb4987ffff,3310.923076923077,572.6538461538462,173.51333236694336,399.14051378690283,246.85212326049805
89415cb4193ffff->89415cb4cd7ffff,6,89415cb4193ffff,89415cb4cd7ffff,1201.1666666666667,678.5,173.47899945576987,505.0210005442301,264.8612060546875
89415cb46afffff->89415cb687bffff,24,89415cb46afffff,89415cb687bffff,2559.875,559.0,173.2457189783454,385.7542810216546,307.3291381835937
89415cb4987ffff->89415ca7123ffff,29,89415cb4987ffff,89415ca7123ffff,3118.655172413793,512.1724137931035,173.09027259925315,339.08214119385036,397.77744140624986
894143682c3ffff->89415ca640bffff,30,894143682c3ffff,89415ca640bffff,2757.866666666667,554.9333333333333,172.61783426602682,382.31549906730646,356.6841918945313
89415cb4cd7ffff->89415ca640bffff,31,89415cb4cd7ffff,89415ca640bffff,1920.7096774193549,487.93548387096774,172.5822622622213,315.3532216087465,339.46661376953125
8941436945bffff->89414369647ffff,37,8941436945bffff,89414369647ffff,864.2972972972973,518.2432432432432,172.242674642318,346.00056860092525,346.575537109375
89415cb4b0fffff->89415cb4d5bffff,25,89415cb4b0fffff,89415cb4d5bffff,1382.12,548.04,172.18646682739256,375.8535331726074,317.10515136718755
89415cb4ba3ffff->89415cb49afffff,29,89415cb4ba3ffff,89415cb49afffff,1039.8620689655172,564.6551724137931,171.97776309837556,392.67740931541755,446.60472412109374
8941436945bffff->89415cb4b97ffff,37,8941436945bffff,89415cb4b97ffff,989.3783783783783,478.2972972972973,171.35407968469568,306.94321761260164,344.3683959960937
89415cb4cd7ffff->89415cb49afffff,21,89415cb4cd7ffff,89415cb49afffff,1772.7142857142858,546.4761904761905,171.2652087211609,375.2109817550296,446.8245849609375
89415cb687bffff->89415cb4a47ffff,21,89415cb687bffff,89415cb4a47ffff,2427.285714285714,424.57142857142856,170.64274148430144,253.92868708712712,319.9432373046875
89415cb46afffff->8941436945bffff,19,89415cb46afffff,8941436945bffff,3530.6315789473683,468.63157894736844,170.54766084018507,298.08391810718337,342.072021484375
89415ca7123ffff->89415cb49afffff,31,89415ca7123ffff,89415cb49afffff,3427.0967741935483,605.0322580645161,170.3578886678142,434.6743693967019,339.45556640625
89415cb4b0fffff->89415cb684bffff,32,89415cb4b0fffff,89415cb684bffff,2810.875,528.15625,170.02808268368244,358.12816731631756,336.85978088378914
89414368657ffff->89415cb4a47ffff,23,89414368657ffff,89415cb4a47ffff,3042.2608695652175,481.4782608695652,169.30510619930598,312.17315467025924,362.6769042968751
89415cb4ba3ffff->89415cb4a47ffff,38,89415cb4ba3ffff,89415cb4a47ffff,1178.3157894736842,509.36842105263156,168.85908653861597,340.50933451401556,411.9222900390627
89415cb4e43ffff->894143682c3ffff,27,89415cb4e43ffff,894143682c3ffff,3439.962962962963,388.48148148148147,168.83377814292908,219.6477033385524,309.08588256835947
89415cb4b97ffff->89414369617ffff,26,89415cb4b97ffff,89414369617ffff,1036.423076923077,487.0,168.67516894753163,318.32483105246837,393.7351531982422
89415cb687bffff->89415ca640bffff,33,89415cb687bffff,89415ca640bffff,3186.787878787879,566.4242424242424,167.85400303204855,398.5702393921938,387.815673828125
89415cb4a47ffff->89415cb4bc3ffff,8,89415cb4a47ffff,89415cb4bc3ffff,683.375,363.25,167.51429176330566,195.73570823669434,299.54698486328124
89415cb4bc3ffff->89415cb4d5bffff,25,89415cb4bc3ffff,89415cb4d5bffff,1131.6,494.48,167.50130044460298,326.97869955539704,360.41044921875005
89415cb4bc3ffff->89414369617ffff,20,89415cb4bc3ffff,89414369617ffff,1096.2,536.15,167.39165077805518,368.7583492219448,327.25007629394537
89415cb4e43ffff->89414369617ffff,28,89415cb4e43ffff,89414369617ffff,2351.964285714286,531.25,166.97666784695215,364.2733321530478,347.3687377929688
89415ca7123ffff->89415cb4193ffff,16,89415ca7123ffff,89415cb4193ffff,4359.0,562.0625,166.94592272862792,395.1165772713721,384.8153076171875
89415cb4193ffff->89415ca640bffff,18,89415cb4193ffff,89415ca640bffff,1928.6666666666667,283.77777777777777,166.8707841038704,116.90699367390738,330.4861206054688
89415cb5dc7ffff->89415cb4e3bffff,21,89415cb5dc7ffff,89415cb4e3bffff,860.7142857142857,407.7142857142857,166.7250520501818,240.98923366410392,304.7960510253906
89415ca7123ffff->89415cb4e3bffff,23,89415ca7123ffff,89415cb4e3bffff,3452.1304347826085,550.0869565217391,166.65498091086098,383.4319756108781,336.6730590820313
89415cb4d5bffff->89415cb4e43ffff,25,89415cb4d5bffff,89415cb4e43ffff,1185.52,446.68,166.57273971557618,280.10726028442383,415.682861328125
89415cb4e43ffff->89415cb49afffff,26,89415cb4e43ffff,89415cb49afffff,2231.923076923077,552.1923076923077,166.5117348432541,385.68057284905365,324.0637969970703
89415cb4bc3ffff->89415cb4cd7ffff,25,89415cb4bc3ffff,89415cb4cd7ffff,1794.04,494.64,166.4734011030197,328.1665988969803,384.4143066406251
89415cb5db3ffff->89415cb49afffff,19,89415cb5db3ffff,89415cb49afffff,1946.0,487.7368421052632,166.17558308651573,321.5612590187475,288.5072631835937
89415cb5dc7ffff->89415cb684bffff,26,89415cb5dc7ffff,89415cb684bffff,2591.076923076923,520.6923076923077,165.37993031281692,355.31237737949084,378.24554443359375
89415cb4cd7ffff->89414369647ffff,49,89415cb4cd7ffff,89414369647ffff,1931.2244897959183,471.2857142857143,165.20623176438468,306.0794825213296,358.16036987304693
89414369617ffff->89415cb687bffff,26,89414369617ffff,89415cb687bffff,2491.0384615384614,500.03846153846155,165.0686779962136,334.9697835422479,381.47369384765625
89415cb46afffff->89415cb4b97ffff,23,89415cb46afffff,89415cb4b97ffff,2269.0,301.4782608695652,164.77887753818345,136.69938333138174,370.2778503417969
