feature,importance
num__traffic_level_ord,0.4523809
num__is_rush_hour,0.15414166
num__rain_level_ord,0.043996684
num__is_raining,0.042817004
num__is_holiday,0.021841943
num__baseline_speed_mps,0.0028521826
cat__h3_pair_89415ca640bffff->89414369617ffff,0.0023181809
cat__h3_pair_89415cb49afffff->89415cb4193ffff,0.002286312
cat__h3_pair_89415ca640bffff->89415cb4cd7ffff,0.0022658776
cat__h3_pair_89415cb49afffff->8941436945bffff,0.0022133316
cat__h3_pair_89415ca640bffff->89415cb687bffff,0.0022071262
cat__traffic_level_medium,0.0021929457
cat__h3_pair_8941436945bffff->89415cb4d5bffff,0.0021565624
cat__h3_pair_89415cb684bffff->89415cb4ba3ffff,0.0020933778
cat__h3_pair_89415cb4ba3ffff->89415ca7123ffff,0.0020048372
cat__h3_pair_89415cb4d5bffff->89415cb4e43ffff,0.00199572
cat__h3_pair_89415cb4b0fffff->89415cb687bffff,0.0019590869
cat__origin_h3_89415cb4987ffff,0.0019531974
cat__h3_pair_89415cb46afffff->89415cb4a47ffff,0.0019387124
cat__h3_pair_89415ca640bffff->89415cb4b97ffff,0.0019269702
cat__h3_pair_89415cb4987ffff->89415cb49afffff,0.0018804453
cat__destination_h3_89415cb49afffff,0.0018399047
cat__h3_pair_89415cb4b0fffff->89415cb4ba3ffff,0.001824198
cat__h3_pair_89415ca640bffff->89415cb4193ffff,0.0018102719
cat__h3_pair_89415cb4b0fffff->89415cb4cd7ffff,0.0017840257
cat__h3_pair_89415cb4193ffff->89415cb687bffff,0.0017834238
cat__h3_pair_8941436945bffff->89415cb4e43ffff,0.0017764296
cat__h3_pair_89415cb4a47ffff->89415cb687bffff,0.0017674777
cat__h3_pair_89415cb49afffff->89415cb684bffff,0.0017572512
cat__h3_pair_89415cb4d47ffff->89414369647ffff,0.0017444517
cat__h3_pair_89415cb4987ffff->89415ca7123ffff,0.0016999374
cat__h3_pair_89415cb4bc3ffff->894143682c3ffff,0.001693588
cat__h3_pair_8941436945bffff->89415ca7123ffff,0.0016872169
cat__h3_pair_89415ca640bffff->89415cb4a47ffff,0.001682015
num__origin_lat,0.0016687006
num__haversine_distance_meters,0.0016368427
cat__h3_pair_89415cb4ba3ffff->89415cb4a47ffff,0.0016291146
cat__h3_pair_8941436945bffff->89415cb5dc7ffff,0.0016100963
cat__h3_pair_89415cb4987ffff->89415cb4d47ffff,0.0015814012
cat__h3_pair_89415cb4ba3ffff->89415cb5db3ffff,0.0015727858
cat__h3_pair_89415cb687bffff->89415cb4b97ffff,0.0015700047
cat__h3_pair_89415cb49afffff->89415cb4d5bffff,0.0015683845
cat__h3_pair_89415cb684bffff->89415cb49afffff,0.0015500698
cat__h3_pair_89415cb4bc3ffff->89415cb46afffff,0.0015453708
cat__h3_pair_89415cb4bc3ffff->89414369647ffff,0.0015396944
cat__h3_pair_89415cb4193ffff->89415cb5dc7ffff,0.001530937
cat__h3_pair_89414369647ffff->89415ca640bffff,0.0015263441
cat__origin_h3_89415cb4b97ffff,0.0015241861
cat__h3_pair_894143682c3ffff->89415cb4cd7ffff,0.0015140242
cat__h3_pair_8941436945bffff->89415cb4e3bffff,0.0015074356
cat__rain_level_light,0.0014972774
cat__h3_pair_89415cb4e3bffff->89415cb4193ffff,0.0014950747
cat__h3_pair_89415cb4bc3ffff->89415cb687bffff,0.0014922556
cat__h3_pair_89415cb4987ffff->89415cb4cd7ffff,0.0014871625
cat__h3_pair_89415cb5db3ffff->894143682c3ffff,0.0014868699
cat__origin_h3_89415cb4193ffff,0.0014866551
cat__h3_pair_89415cb4b97ffff->89414368657ffff,0.0014764017
cat__h3_pair_89415cb4a47ffff->89414368657ffff,0.0014681862
cat__h3_pair_89415cb4193ffff->89415cb4e3bffff,0.0014595612
cat__rain_level_moderate,0.0014528482
cat__h3_pair_89415cb49afffff->89414368657ffff,0.0014391405
cat__destination_h3_89415ca640bffff,0.0014321586
cat__h3_pair_89415cb5db3ffff->89415cb4d5bffff,0.0014287411
cat__h3_pair_89415cb684bffff->8941436945bffff,0.0014158562
cat__h3_pair_89415ca7123ffff->89415ca640bffff,0.0014107254
cat__origin_h3_89415cb684bffff,0.0014072477
cat__h3_pair_8941436945bffff->89415cb4b0fffff,0.0013970836
cat__origin_h3_89415cb4d5bffff,0.0013944135
cat__h3_pair_89414369647ffff->89415cb4987ffff,0.001394046
cat__traffic_level_high,0.0013804007
cat__h3_pair_89415cb4b0fffff->89415ca640bffff,0.0013761969
cat__h3_pair_89415cb4e43ffff->89415cb4d5bffff,0.0013751524
cat__h3_pair_89415cb4a47ffff->89415cb4b0fffff,0.0013747121
num__baseline_eta_secs,0.001373431
num__destination_lng,0.0013691725
cat__h3_pair_89415cb4b97ffff->8941436945bffff,0.0013596946
cat__h3_pair_89415cb4e43ffff->89415cb4cd7ffff,0.0013566554
cat__origin_h3_89415cb49afffff,0.0013552074
cat__h3_pair_89415cb4bc3ffff->89414368657ffff,0.0013501347
cat__h3_pair_89414369617ffff->89415cb4e43ffff,0.0013491331
cat__h3_pair_89415cb4d5bffff->89415cb5dc7ffff,0.0013490972
cat__h3_pair_89415cb5dc7ffff->89415ca7123ffff,0.0013451306
cat__h3_pair_89415cb4d47ffff->89415cb684bffff,0.001343562
cat__h3_pair_89414369647ffff->89415cb4e43ffff,0.0013410441
cat__h3_pair_8941436945bffff->89415cb4193ffff,0.0013341742
cat__h3_pair_89415cb4b0fffff->89415cb4d5bffff,0.0013340745
cat__destination_h3_89414369647ffff,0.0013275187
cat__h3_pair_89415cb684bffff->89415cb4193ffff,0.0013179651
cat__h3_pair_89414369617ffff->89414369647ffff,0.00130768
cat__h3_pair_89415cb4d47ffff->89415cb4e43ffff,0.0013032081
cat__h3_pair_8941436945bffff->894143682c3ffff,0.0012976537
cat__h3_pair_89414368657ffff->89415cb4193ffff,0.0012750278
cat__h3_pair_89415ca7123ffff->89415cb46afffff,0.0012657748
cat__destination_h3_89415cb4193ffff,0.0012648832
num__origin_lng,0.0012568608
cat__h3_pair_89415cb4e43ffff->89415cb4d47ffff,0.0012520403
cat__h3_pair_89415cb4b97ffff->89415cb4cd7ffff,0.0012489319
cat__weather_condition_rain,0.0012300865
cat__h3_pair_89415cb4d47ffff->89415ca640bffff,0.0012198027
cat__h3_pair_89415cb4d5bffff->89415cb49afffff,0.0012167788
cat__h3_pair_89415cb49afffff->89415cb4b97ffff,0.0012163369
cat__destination_h3_89414369617ffff,0.0012140999
cat__origin_h3_89415cb4d47ffff,0.0011957586
num__destination_lat,0.0011927546
cat__h3_pair_89414368657ffff->89415cb4b0fffff,0.0011899145
cat__h3_pair_89415cb5db3ffff->89414369647ffff,0.0011892662
cat__h3_pair_89415cb46afffff->89415cb684bffff,0.001183742
cat__h3_pair_89415cb5dc7ffff->89414369617ffff,0.0011741938
cat__h3_pair_89414368657ffff->89414369617ffff,0.0011666979
cat__h3_pair_894143682c3ffff->89415cb684bffff,0.0011635028
cat__h3_pair_89415cb4a47ffff->89415cb4d5bffff,0.0011602034
cat__destination_h3_89415cb4d47ffff,0.0011563657
cat__h3_pair_89415ca640bffff->89415cb684bffff,0.0011513848
cat__h3_pair_89414369647ffff->89415cb4a47ffff,0.001149015
cat__h3_pair_8941436945bffff->89415cb4b97ffff,0.0011464736
cat__weather_condition_storm,0.001140289
cat__h3_pair_89415cb4b0fffff->894143682c3ffff,0.0011402628
cat__origin_h3_89415cb4ba3ffff,0.0011377091
cat__origin_h3_89415ca640bffff,0.0011363351
num__baseline_distance_meters,0.0010820919
cat__day_of_week_Tue,0.0010603127
cat__h3_pair_89414369617ffff->894143682c3ffff,0.0010576588
cat__h3_pair_89415cb687bffff->89415cb4193ffff,0.0010523495
cat__destination_h3_89415cb4e43ffff,0.0010493293
cat__h3_pair_89415cb4ba3ffff->8941436945bffff,0.0010414456
num__route_to_haversine_ratio,0.0010396204
cat__h3_pair_89414369647ffff->89414369647ffff,0.001030792
cat__origin_h3_89415cb4bc3ffff,0.0010251369
cat__h3_pair_89415ca7123ffff->89415cb4193ffff,0.0010226924
cat__h3_pair_89414368657ffff->89415cb5dc7ffff,0.0010159855
