trial,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std,fit_time_mean
15,1.0,0.05,0.03482591811168509,5,8,600,0.05,1.5,1.0,150.64501484200477,1.0065759684798516,0.1514247831415371,0.002863103317252091,4.688997268676758
13,1.0,0.1,0.09359711585791088,5,5,150,0.1,3.0,0.85,151.43700446175697,1.3714143073023577,0.15190536637461505,0.003022741941261005,1.48665984471639
7,0.85,0.05,0.03301893700566064,8,3,600,0.5,2.0,1.0,151.71914085892288,1.1643186217112234,0.15376703263086391,0.002902860021190204,6.704379240671794
2,1.0,0.1,0.04928538203964713,8,8,600,0.5,1.5,0.85,151.81264356144646,1.1135186157135455,0.1536920504054595,0.003065531802863427,6.096606016159058
3,0.7,0.05,0.09734096464338715,4,8,600,0.0,0.75,0.85,151.83586896232094,0.7288362554540407,0.15252607982858857,0.0033722928787349605,4.678805987040202
4,0.85,0.0,0.04592011241952802,3,5,400,0.1,1.0,1.0,151.95632676201032,1.0399441175215027,0.15134100555860788,0.0033390773412918556,2.9186793168385825
5,0.85,0.05,0.11464790234747517,5,8,400,0.5,0.75,1.0,151.97392290811842,0.8912827577985049,0.1525832745528638,0.0028740792660654968,3.0785721937815347
14,1.0,0.05,0.02025055137306238,3,8,600,0.05,0.75,1.0,152.06603072977475,0.6152674533082788,0.15233226056894464,0.0037509211995000644,4.340415716171265
6,0.7,0.1,0.08737668461999538,3,5,250,0.5,0.75,0.85,152.4596399209254,1.0223297424059863,0.15218542616036232,0.003463706769989674,2.041384299596151
11,0.85,0.1,0.12834240864476404,4,1,600,0.5,2.0,0.7,152.92861144105947,0.8208689945209647,0.1535661722119963,0.0034561110132236,4.559211492538452
1,1.0,0.2,0.17602996790225925,5,8,150,0.0,1.0,1.0,153.22319526994406,1.1628921988343646,0.15286789797314293,0.00315944809132177,1.386180321375529
12,0.7,0.0,0.1198156966117842,3,1,400,0.0,0.75,1.0,153.26242376813488,0.9069971777192595,0.1524965958771951,0.003299115782970668,2.9004709720611572
10,0.85,0.05,0.15230606862965212,6,1,250,0.5,3.0,0.7,154.22119451968504,1.0901066977683282,0.15515637562764548,0.003445780724981245,2.4300406773885093
9,0.85,0.05,0.025704720774538548,6,3,150,0.1,1.0,0.85,158.26723751633986,1.0953375943553003,0.17028304462167607,0.0044397307470085455,1.8580043315887451
8,0.7,0.2,0.016397447102233176,3,8,250,0.5,2.0,0.85,176.83898450948752,1.023466471256565,0.20502036689958006,0.006478493666861236,2.300245920817057
16,0.7,0.1,0.020446899341129313,5,1,150,0.05,1.5,0.7,181.99988092933017,1.0730549139561896,0.2136805103720829,0.007681112765194088,1.510167916615804
