k,val_mae,val_rmse,val_mape,val_median_absolute_error,val_p50,val_p90,val_p95,val_r2
0,58.338457369565226,118.50837272692277,27.719438555778574,39.16217400000001,39.16217400000001,93.23194800000002,112.87491674999998,-0.07660069584865536
1,58.34195796844291,118.51078091876454,27.733928474263088,39.21821714560933,39.21821714560933,93.05468460790598,112.86336264369658,-0.07664445119345453
2,58.34500600211166,118.5137376729375,27.747265759654887,39.27192925506756,39.27192925506756,92.88557304260195,112.85457805096198,-0.07669817478991625
5,58.35184029684599,118.52512409506646,27.781338810136425,39.42027397321429,39.42027397321429,92.42136338688019,112.29182387499999,-0.07690507618553077
10,58.35739083354568,118.5493147681206,27.822807296202523,39.63192455555556,39.63192455555556,91.764290984127,111.32075169444444,-0.07734470815865557
20,58.35540433959118,118.60476055810317,27.869594252369538,40.080381120320865,40.080381120320865,90.75282293850267,109.9082830681818,-0.07835269706964998
30,58.344706984228445,118.66021991376904,27.889626795541634,40.10538359852475,40.10538359852475,90.00047059852477,108.93042017307691,-0.07936140410248793
50,58.34530526807884,118.75943315217789,27.909460030144288,39.22267592416726,39.22267592416726,88.93610636995041,107.66495054411764,-0.08116709279466106
75,58.34253963505499,118.85989163882377,27.909149448954924,39.16773575690148,39.16773575690148,88.05632465218946,106.73022865909091,-0.08299698276018708
100,58.336146789736965,118.93953715404845,27.89856391242293,39.19042446296295,39.19042446296295,87.44510735185187,106.1417000648148,-0.08444885606422647
150,58.37261373777482,119.05673256680758,27.898130836901174,39.8486196207208,39.8486196207208,86.63999832107297,105.44182822297297,-0.08658700202849934
200,58.40833749837047,119.13849369976097,27.90047439462315,40.408902691200055,40.408902691200055,86.12784031618637,105.03977418617019,-0.08807992204495974
